                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7853,                 2.6214,                 1.2466,                 1.0571,                0.24152,                0.59535,                0.18634,                 0.0993,                0.22302,                0.54139,                0.16393,                0.06255,                 1.5511,                 2.4762,                    inf,                 1.0162,             0.00066407,             0.00066407,             0.00066407
                      1,                 1.7301,                 2.4671,                 1.1055,                 1.0388,                0.69599,                0.56798,                0.58809,                0.29219,                0.66694,                0.52877,                0.53742,                0.19981,                 1.7704,                 2.2302,                  1.112,                 1.0459,              0.0012429,              0.0012429,              0.0012429
                      2,                 1.7295,                 2.4168,                  1.108,                  1.038,                0.71693,                0.58731,                0.63042,                 0.3308,                0.67604,                0.54932,                0.57335,                0.23089,                 1.6906,                 2.0724,                 1.2215,                 1.0313,              0.0017337,              0.0017337,              0.0017337
                      3,                 1.6611,                 2.3529,                 1.0541,                 1.0178,                 0.7285,                0.60384,                0.63149,                0.33154,                0.69068,                0.56128,                0.57366,                0.22195,                 1.6114,                 1.9927,                 1.0722,                 1.0103,               0.001604,               0.001604,               0.001604
                      4,                   1.63,                 2.3256,                 1.0368,                 1.0075,                 0.7521,                0.63568,                0.66441,                0.37977,                0.71426,                0.60127,                0.61395,                0.25724,                 1.4719,                 1.9473,                0.92178,                0.98245,               0.001604,               0.001604,               0.001604
                      5,                 1.5914,                 2.0241,                 1.0814,                 1.0314,                0.76729,                0.64015,                0.67503,                 0.3819,                0.73214,                0.60737,                0.62741,                0.26999,                 1.5108,                 1.9292,                 0.9614,                0.99159,               0.001472,               0.001472,               0.001472
                      6,                 1.5796,                 2.0155,                0.98521,                 1.0214,                0.75233,                0.64194,                0.66781,                0.35093,                0.70619,                 0.6053,                0.60535,                0.23068,                 1.5753,                 1.9497,                0.95201,                0.99769,                0.00134,                0.00134,                0.00134
                      7,                 1.5466,                 1.9829,                0.95337,                 1.0046,                0.76087,                0.63401,                0.67954,                0.37848,                0.72541,                0.59356,                0.62674,                0.24738,                 1.5829,                 2.0805,                0.93905,                 1.0068,               0.001208,               0.001208,               0.001208
                      8,                 1.5138,                 1.9641,                0.93916,                 1.0076,                0.75762,                0.65477,                0.67833,                0.39992,                0.72796,                0.62228,                0.63329,                0.28417,                 1.4697,                 2.0063,                0.94496,                0.97553,               0.001076,               0.001076,               0.001076
                      9,                 1.5186,                 1.9209,                0.94427,                 1.0047,                0.76948,                 0.6623,                0.69626,                 0.4111,                0.74128,                 0.6242,                 0.6432,                0.28518,                 1.4329,                 1.8606,                0.88125,                0.97065,               0.000944,               0.000944,               0.000944
                     10,                 1.4907,                 1.9062,                0.90404,                 0.9991,                0.78201,                0.66689,                0.70377,                0.41885,                0.75603,                 0.6377,                0.66206,                 0.2952,                 1.3952,                 1.8378,                0.84558,                0.96166,               0.000812,               0.000812,               0.000812
                     11,                 1.4841,                 1.8974,                0.88714,                0.98714,                0.78741,                0.65422,                0.70716,                0.42584,                 0.7625,                0.62183,                0.66389,                0.30094,                 1.4075,                 1.8444,                 0.8565,                0.96358,                0.00068,                0.00068,                0.00068
                     12,                  1.459,                 1.8711,                0.87189,                0.98973,                0.78187,                0.65073,                0.70322,                0.40216,                0.74311,                0.61546,                0.64986,                0.27176,                 1.4563,                 1.8504,                0.85581,                0.97277,               0.000548,               0.000548,               0.000548
                     13,                 1.4606,                 1.8492,                0.85514,                0.98614,                0.78249,                0.66435,                 0.7107,                0.40977,                0.74083,                0.63546,                0.65849,                0.27936,                 1.4488,                 1.8762,                0.86985,                0.97299,               0.000416,               0.000416,               0.000416
                     14,                 1.4552,                 1.8356,                0.85079,                0.98819,                0.78349,                0.66026,                0.70852,                0.39771,                0.74527,                 0.6158,                0.64972,                0.25788,                  1.532,                 1.9458,                0.85789,                0.98405,               0.000284,               0.000284,               0.000284
